Test set image file,Euclidean distance between image and training set image,Cosine similarity between image and training set image
label0_00031f466.jpg,0,0
label0_69e5aff01.jpg,36.68118261,0.00333743
label0_f8fe4e3d9.jpg,38.1793473,0.003652509
label0_21318dbb2.jpg,38.57729699,0.003573965
label0_8b6372c98.jpg,39.52423227,0.00391475
label0_257d02460.jpg,39.902985,0.003614755
label0_9417bd5b3.jpg,40.45036887,0.003494886
label0_088ecc915.jpg,40.52734962,0.004043076
label0_81a0575ff.jpg,40.59864146,0.00375324
label0_9c81f6e2e.jpg,40.99851293,0.004012576
label0_e09fc9a60.jpg,41.5522972,0.004327841
label0_613faa9d3.jpg,41.72766377,0.003831912
label0_6821137c5.jpg,41.98878139,0.004410556
label0_d38405dce.jpg,42.10360649,0.004351604
label0_af36d22ab.jpg,42.34324889,0.004328712
label0_e46526f80.jpg,42.51493204,0.004500883
label0_b852c3232.jpg,42.796876,0.004185839
label0_a2befa67f.jpg,43.32005457,0.004252853
label0_9a62177bb.jpg,43.58080803,0.004157247
label0_10ea01334.jpg,43.67159978,0.004667564
label0_6d293a48f.jpg,43.70253543,0.004486548
label0_2117f8b3c.jpg,43.70759345,0.004036271
label0_4e8c83b2d.jpg,44.09993265,0.004861912
label0_b9f8d4019.jpg,44.43208417,0.004925672
label0_e4ffb90cb.jpg,44.45634693,0.003761858
label0_bd02a666e.jpg,44.68648186,0.004806295
label0_7d3f9dfa1.jpg,45.00106932,0.005074457
label0_f4c8845b6.jpg,45.02078976,0.004660658
label0_dbe808a3d.jpg,45.11775187,0.003820456
label0_63541b5aa.jpg,45.410574,0.00429897
label0_ee329c310.jpg,45.8700089,0.004743949
label0_a14c30405.jpg,46.78736213,0.004898005
label0_90b8b3e82.jpg,46.85726886,0.004189213
label0_941d45a28.jpg,46.95805436,0.005015478
label0_04e15fdc1.jpg,47.14272276,0.005185724
label0_f806ebb39.jpg,47.99099396,0.004547896
label0_8e0334d54.jpg,48.18474396,0.004550898
label0_537d5882a.jpg,48.2836582,0.004686722
label0_612d86c8b.jpg,48.31464826,0.005767341
label0_7941b2b9e.jpg,48.9585857,0.004355435
label0_2fa87f2c8.jpg,49.23339046,0.004016405
label0_7b78f7ca9.jpg,49.27324608,0.005295792
label0_202c60d61.jpg,49.56881438,0.006004271
label0_771ca6885.jpg,49.93455833,0.005556677
label0_02ea1d0e8.jpg,49.97751882,0.005496673
label0_31c047fae.jpg,50.03155498,0.00494102
label0_8f499b94d.jpg,50.17646001,0.006098203
label0_747a360b4.jpg,50.3519704,0.005868921
label0_70645d70a.jpg,50.45374005,0.004799986
label0_e4d31b81a.jpg,50.49747261,0.004973452
